Name;Address;Rating;Reviews;Category;Hours;Website;Phone
Yelken Kafe & Restoran;Selçuk, Varyant Sk. No:6, 07100 Muratpaşa/Antalya;4,6;;Restoran;Kapalı · Açılış zamanı: 09:00;;
Yemenli Meyhanesi;Kaleiçi, Kılınçarslan, Zeytin Sk. No:16, 07100 Muratpaşa/Antalya;4,3;;Restoran;Kapalı · Açılış zamanı: 11:00;http://www.kaleiciyemenli.com/;0505 758 80 88
FATMA SULTAN RESTAURANT (TÜRK MUTFAĞI);Haşimişcan, Arık Cd. no:20, 07100 Muratpaşa/Antalya;4,5;;Kaliteli yemek restoranı;Kapalı · Açılış zamanı: 09:00;http://www.fatmasultanrestaurant.com/;0530 254 16 80
Kaleiçi Meyhanesi;Selçuk, Balıkpazarı Sk. No:14, 07100 Muratpaşa/Antalya;4,3;;Meyhane;Kapalı · Açılış zamanı: 15:00;http://www.kaleicimeyhanesi.menuantalya.com/;0545 639 42 63
Asmani Restaurant;10, Akra Hotel, Lara Cd. No:24, 07100 Muratpaşa/Antalya;4,2;;Restoran;Kapalı · Açılış zamanı: 12:00;https://www.asmanirestaurant.com/;(0242) 316 20 21
Cava Restaurant;Barbaros, Kandiller Sk. No:7, 07100 Muratpaşa/Antalya;4,6;;Restoran;Kapalı · Açılış zamanı: 08:30 Diğer saatlere bakın;https://casasurantalya.com/food-drink/;0531 721 95 13
Antalya Hayalet Restaurant;Keklik Apt, Altındağ, Turgut Reis Cd. D:32/A, 07050 Muratpaşa;4,5;;Kaliteli yemek restoranı;Kapalı · Açılış zamanı: 10:00;;(0242) 247 59 79
Ship Inn Marina Restaurant;Liman Mahallesi, Liman 2 Cadde, 07130 Konyaaltı/Antalya;4,5;;Akdeniz mutfağı restoranı;Kapalı · Açılış zamanı: 11:30;http://www.shipinn.com.tr/;0532 389 12 99
Tipsy Old Town;Kılınçarslan, Hıdırlık Sk. No:41, 07100 Muratpaşa/Antalya;4,5;;Bar;Kapalı · Açılış zamanı: 08:00 Diğer saatlere bakın;https://www.instagram.com/tipsyoldtown/;0543 253 44 84
7 Mehmet Restaurant;Meltem Mahallesi, Atatürk Kültür Parkı, Dumlupınar Bulvarı No:201, 07030 Muratpaşa/Antalya;4,1;;Restoran;Kapalı · Açılış zamanı: 11:00;http://www.7mehmet.com/;444 0 707
Karaf Bistro Kaleiçi;Selvi Hanim Konagi, Kılınçarslan Mahallesi 2, Kılınçarslan, Sakarya Sk. No:14, 07100 Muratpaşa/Antalya;4,7;;Bistro;Kapalı · Açılış zamanı: 15:00;;(0242) 242 80 81
Varuna Gezgin Cafe - Antalya - Kaleiçi;Kılınçarslan, Hamam Sk. 2/1, 07100 Muratpaşa/Antalya;4,4;;Restoran;Kapalı · Açılış zamanı: 08:00;https://varunagezgin.com/;(0242) 244 51 05
Food in Box;Gürsu, Akdeniz Blv. No:182, 07070 Konyaaltı/Antalya;4,2;;Restoran;Kapalı · Açılış zamanı: 08:00 Diğer saatlere bakın;;0532 696 21 62
Kaleiçi Garden Restaurant(kokoreç midye dolma midye tava);garden, Barbaros mahallesi imaret sok no26 Barbaros mah imaret sok, Kaleiçi no26, 07100 Muratpaşa/Antalya;4,6;;Restoran;Kapalı · Açılış zamanı: 09:30 Diğer saatlere bakın;;0546 911 59 85
The Wall Antalya;Altınkum, Akdeniz Blv. No:176 / D, 07070 Konyaaltı/Antalya;4,5;;Bar;Kapanmak üzere · 02:00 · Tekrar açılış saati: 12:00;;0507 392 21 60
Alara Restaurant Konyaaltı;Bahçelievler, Konyaaltı Cd. Atatürk Parkı İçi D:25/8, 07050 Muratpaşa/Antalya;4,3;;Restoran;Kapalı · Açılış zamanı: 12:00;http://www.alararestaurant.com/;(0242) 247 01 01
Order Lounge Cafe&Bistro;Bahçelievler, Konyaaltı Cd., 07050 Muratpaşa/Antalya;3,9;;Bistro;Kapalı · Açılış zamanı: 08:00;http://www.order.com.tr/;(0242) 248 05 06
Lara Balık;Gençlik, Tevfik Işık Cd. No:8, 07100 Muratpaşa/Antalya;4,2;;Balık Restoranı;Kapalı · Açılış zamanı: 09:00;http://www.larabalik.com/;(0242) 313 13 99
BEŞ KAZAN ORTA ASYA RESTORAN;BEŞ KAZAN ORTA ASYA RESTORAN, Üç kapıların karşısında Çikolata evin yanında Birlik Pasajın içinde, Sinan, Atatürk Cd. 1253 sokak, 07100 Muratpaşa/Antalya;4,6;;Restoran;Kapalı · Açılış zamanı: 09:00 Diğer saatlere bakın;http://beskazan.com/;0542 189 57 06
Kaleiçi Steak Gastro Bar;Kılınçarslan, Hesapçı Sk. No:64, 07100 Muratpaşa/Antalya;4,6;;Biftek restoranı;Kapalı · Açılış zamanı: 12:00 Diğer saatlere bakın;http://www.kaleicisteakgastrobar.com/;0544 668 07 00
Aybüke Hatun Orta Asya Yemekleri Restaurant & Cafe;Üç kapılar karşısında, Sinan, Atatürk Cd. Birlik İşhanı No25 Zemin kat, 07100 Muratpaşa/Antalya;4,8;;Restoran;Kapalı · Açılış zamanı: 09:00 Diğer saatlere bakın;https://aybukeortaasyayemekleri.com.tr/;0530 702 67 87
Kaleiçi Ozkavak Restaurant;Barbaros, Civelek Sk. No:6, 07100 Muratpaşa/Antalya;4,8;;Restoran;Kapalı · Açılış zamanı: 12:00;https://ozkavakboutiquehotel.com.tr/;0506 170 70 55
